,Unnamed: 0,id,idm,name,venue,team1,team2
0,0,1216492_AS Yadav,1216492,AS Yadav,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
1,1,1216492_AT Rayudu,1216492,AT Rayudu,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
2,2,1216492_DL Chahar,1216492,DL Chahar,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
3,3,1216492_F du Plessis,1216492,F du Plessis,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
4,4,1216492_HH Pandya,1216492,HH Pandya,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
5,5,1216492_JJ Bumrah,1216492,JJ Bumrah,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
6,6,1216492_JL Pattinson,1216492,JL Pattinson,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
7,7,1216492_KA Pollard,1216492,KA Pollard,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
8,8,1216492_KH Pandya,1216492,KH Pandya,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
9,9,1216492_L Ngidi,1216492,L Ngidi,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
10,10,1216492_M Vijay,1216492,M Vijay,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
11,11,1216492_MK Pandey,1216492,MK Pandey,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
12,12,1216492_MS Dhoni,1216492,MS Dhoni,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
13,13,1216492_PP Chawla,1216492,PP Chawla,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
14,14,1216492_Q de Kock,1216492,Q de Kock,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
15,15,1216492_RA Jadeja,1216492,RA Jadeja,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
16,16,1216492_RD Chahar,1216492,RD Chahar,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
17,17,1216492_RG Sharma,1216492,RG Sharma,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
18,18,1216492_S Curran,1216492,S Curran,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
19,19,1216492_SR Watson,1216492,SR Watson,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
20,20,1216492_SS Tiwary,1216492,SS Tiwary,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
21,21,1216492_TA Boult,1216492,TA Boult,"Sheikh Zayed Stadium, Abu Dhabi",Mumbai Indians,Chennai Super Kings
22,22,1216493_AR Patel,1216493,AR Patel,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
23,23,1216493_Ankit Sharma,1216493,Ankit Sharma,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
24,24,1216493_Anrich Nortje,1216493,Anrich Nortje,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
25,25,1216493_CJ Jordan,1216493,CJ Jordan,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
26,26,1216493_Cottrell,1216493,Cottrell,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
27,27,1216493_GJ Maxwell,1216493,GJ Maxwell,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
28,28,1216493_K Gowtham,1216493,K Gowtham,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
29,29,1216493_K Rabada,1216493,K Rabada,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
30,30,1216493_KK Nair,1216493,KK Nair,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
31,31,1216493_KL Rahul,1216493,KL Rahul,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
32,32,1216493_MA Agarwal,1216493,MA Agarwal,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
33,33,1216493_MP Stoinis,1216493,MP Stoinis,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
34,34,1216493_Mohammed Shami,1216493,Mohammed Shami,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
35,35,1216493_N Pooran,1216493,N Pooran,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
36,36,1216493_P Shaw,1216493,P Shaw,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
37,37,1216493_R Ashwin,1216493,R Ashwin,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
38,38,1216493_RR Pant,1216493,RR Pant,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
39,39,1216493_Ravi Bishnoi,1216493,Ravi Bishnoi,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
40,40,1216493_S Dhawan,1216493,S Dhawan,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
41,41,1216493_S Hetmyer,1216493,S Hetmyer,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
42,42,1216493_SN Khan,1216493,SN Khan,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
43,43,1216493_SS Iyer,1216493,SS Iyer,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
44,44,1216493_nan,1216493,nan,Dubai International Cricket Stadium,Delhi Daredevils,Kings XI Punjab
45,45,1216494_AJ Finch,1216494,AJ Finch,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,Royal Challengers Bangalore
